,ferrari
Season Position,2nd
Season Points,222
Grand Prix Races,12
Grand Prix Points,204
Grand Prix Wins,0
Grand Prix Podiums,4
Grand Prix Poles,0
Grand Prix Top 10s,21
DHL Fastest Laps,0
DNFs,0
Sprint Races,2
Sprint Points,18
Sprint Wins,1
Sprint Podiums,2
Sprint Poles,1
Sprint Top 10s,3
Full Team Name,Scuderia Ferrari HP
Base,"Maranello, Italy"
Team Chief,Frédéric Vasseur
Technical Chief,Loic Serra / Enrico Gualtieri
Chassis,SF-25
Power Unit,Ferrari
Reserve Driver,"Antonio Giovinazzi, Zhou Guanyu"
First Team Entry,1950
Drivers,Charles Leclerc / Lewis Hamilton
